KDTree,Dim,N,K,Time
KDTree,3,50000,500,8273
KDTree,3,50000,600,9300
KDTree,3,50000,700,10096
KDTree,3,50000,800,10886
KDTree,3,50000,900,11616
KDTree,3,50000,1000,12463
KDTree,3,60000,100,3564
KDTree,3,60000,200,5489
KDTree,3,60000,300,7119
KDTree,3,60000,400,8489
KDTree,3,60000,500,9512
KDTree,3,60000,600,10556
KDTree,3,60000,700,11860
KDTree,3,60000,800,12281
KDTree,3,60000,900,12762
KDTree,3,60000,1000,13248
KDTree,3,70000,100,4139
KDTree,3,70000,200,6342
KDTree,3,70000,300,8231
KDTree,3,70000,400,10149
KDTree,3,70000,500,11333
KDTree,3,70000,600,12975
KDTree,3,70000,700,14165
KDTree,3,70000,800,15166
KDTree,3,70000,900,16149
KDTree,3,70000,1000,17224
KDTree,4,10000,100,1126
KDTree,4,10000,200,1776
KDTree,4,10000,300,2187
KDTree,4,10000,400,2517
KDTree,4,10000,500,2875
KDTree,4,10000,600,3162
KDTree,4,10000,700,3484
KDTree,4,10000,800,3691
KDTree,4,10000,900,3822
KDTree,4,10000,1000,3887
KDTree,4,20000,100,1479
KDTree,4,20000,200,2251
KDTree,4,20000,300,2866
KDTree,4,20000,400,3465
KDTree,4,20000,500,3969
KDTree,4,20000,600,4429
KDTree,4,20000,700,4799
KDTree,4,20000,800,5312
KDTree,4,20000,900,5647
KDTree,4,20000,1000,6049
KDTree,4,30000,100,1957
KDTree,4,30000,200,2770
KDTree,4,30000,300,3493
KDTree,4,30000,400,4213
KDTree,4,30000,500,4807
KDTree,4,30000,600,5393
KDTree,4,30000,700,5933
KDTree,4,30000,800,6465
KDTree,4,30000,900,7018
KDTree,4,30000,1000,7237
KDTree,4,40000,100,1928
KDTree,4,40000,200,2947
KDTree,4,40000,300,3801
KDTree,4,40000,400,4617
KDTree,4,40000,500,5246
KDTree,4,40000,600,5899
KDTree,4,40000,700,6521
KDTree,4,40000,800,6887
KDTree,4,40000,900,7331
KDTree,4,40000,1000,7784
KDTree,4,50000,100,2338
KDTree,4,50000,200,3580
KDTree,4,50000,300,4583
KDTree,4,50000,400,5712
KDTree,4,50000,500,6219
KDTree,4,50000,600,7073
KDTree,4,50000,700,7831
KDTree,4,50000,800,8630
KDTree,4,50000,900,8915
KDTree,4,50000,1000,9599
KDTree,4,60000,100,2540
KDTree,4,60000,200,3915
KDTree,4,60000,300,4971
KDTree,4,60000,400,5902
KDTree,4,60000,500,6815
KDTree,4,60000,600,7620
KDTree,4,60000,700,8334
KDTree,4,60000,800,9058
KDTree,4,60000,900,9705
KDTree,4,60000,1000,10292
KDTree,4,70000,100,2650
KDTree,4,70000,200,4081
KDTree,4,70000,300,5286
KDTree,4,70000,400,6264
KDTree,4,70000,500,7144
KDTree,4,70000,600,8043
KDTree,4,70000,700,8852
