DumbKNN,Dim,N,K,Time
DumbKNN,3,3000,300,13337
DumbKNN,3,3000,400,14045
DumbKNN,3,3000,500,14583
DumbKNN,3,3000,600,14837
DumbKNN,3,3000,700,14679
DumbKNN,3,3000,800,13506
DumbKNN,3,3000,900,13950
DumbKNN,3,3000,1000,14040
DumbKNN,3,4000,100,15384
DumbKNN,3,4000,200,16404
DumbKNN,3,4000,300,16884
DumbKNN,3,4000,400,17817
DumbKNN,3,4000,500,18525
DumbKNN,3,4000,600,18924
DumbKNN,3,4000,700,19305
DumbKNN,3,4000,800,19634
DumbKNN,3,4000,900,19650
DumbKNN,3,4000,1000,19020
DumbKNN,3,5000,100,18687
DumbKNN,3,5000,200,20113
DumbKNN,3,5000,300,20768
DumbKNN,3,5000,400,21489
DumbKNN,3,5000,500,21928
DumbKNN,3,5000,600,22649
DumbKNN,3,5000,700,23374
DumbKNN,3,5000,800,23647
DumbKNN,3,5000,900,23560
DumbKNN,3,5000,1000,24159
DumbKNN,3,6000,100,22191
DumbKNN,3,6000,200,23833
DumbKNN,3,6000,300,24699
DumbKNN,3,6000,400,25126
DumbKNN,3,6000,500,25607
DumbKNN,3,6000,600,26186
DumbKNN,3,6000,700,26860
DumbKNN,3,6000,800,27813
DumbKNN,3,6000,900,28277
DumbKNN,3,6000,1000,28354
DumbKNN,3,7000,100,25602
DumbKNN,3,7000,200,27164
DumbKNN,3,7000,300,27891
DumbKNN,3,7000,400,29033
DumbKNN,3,7000,500,29656
DumbKNN,3,7000,600,29923
DumbKNN,3,7000,700,30602
DumbKNN,3,7000,800,31119
DumbKNN,3,7000,900,32599
DumbKNN,3,7000,1000,33360
DumbKNN,4,1000,100,3346
DumbKNN,4,1000,200,3721
DumbKNN,4,1000,300,3540
DumbKNN,4,1000,400,4415
DumbKNN,4,1000,500,3885
DumbKNN,4,1000,600,4181
DumbKNN,4,1000,700,3331
DumbKNN,4,1000,800,3592
DumbKNN,4,1000,900,3144
DumbKNN,4,1000,1000,2
DumbKNN,4,2000,100,6126
DumbKNN,4,2000,200,6654
